time_period,rainfall,mean_temperature,disease_cases,population,location
2018-06,5.784,19.82,4275,863902,N9pKxz10nwa
2018-07,1.886,19.82,3857,863902,N9pKxz10nwa
2018-08,61.867,20.51,4546,863902,N9pKxz10nwa
2018-09,30.485,21.05,8897,863902,N9pKxz10nwa
2018-10,118.846,20.32,31743,863902,N9pKxz10nwa
2018-11,98.881,19.86,41302,863902,N9pKxz10nwa
2018-12,109.603,19.63,54639,863902,N9pKxz10nwa
2019-01,76.776,20.57,39781,807481,N9pKxz10nwa
2019-02,70.475,20.82,22929,807481,N9pKxz10nwa
2019-03,73.334,20.99,6045,807481,N9pKxz10nwa
2019-04,134.799,20.44,3774,807481,N9pKxz10nwa
2019-05,103.076,19.53,3692,807481,N9pKxz10nwa
2019-06,7.485,20.36,4741,807481,N9pKxz10nwa
2019-07,8.439,21.01,3826,807481,N9pKxz10nwa
2019-08,22.304,21.84,2604,807481,N9pKxz10nwa
2019-09,57.193,21.46,3352,807481,N9pKxz10nwa
2019-10,181.627,19.4,5919,807481,N9pKxz10nwa
2019-11,103.949,20.08,4459,807481,N9pKxz10nwa
2019-12,155.244,19.96,4524,807481,N9pKxz10nwa
2020-01,68.017,21.14,4053,857702.45,N9pKxz10nwa
2020-02,91.918,20.99,2113,855359,N9pKxz10nwa
2020-03,144.499,20.84,1117,857702.45,N9pKxz10nwa
2020-04,185.603,20.33,928,857702.45,N9pKxz10nwa
2020-05,48.208,20.18,1402,857702.45,N9pKxz10nwa
2020-06,15.584,20.53,1805,857702.45,N9pKxz10nwa
2020-07,1.861,21.24,3716,857702.45,N9pKxz10nwa
2020-08,7.951,23.02,7489,857702.45,N9pKxz10nwa
2020-09,32.581,22.28,20317,857702.45,N9pKxz10nwa
2020-10,121.11,20.9,34006,857702.45,N9pKxz10nwa
2020-11,142.159,19.84,31803,857702.45,N9pKxz10nwa
2020-12,74.496,20.14,17396,857702.45,N9pKxz10nwa
2021-01,77.827,20.12,6048,522358,N9pKxz10nwa
2021-02,79.297,20.72,17649,522358,N9pKxz10nwa
2021-03,101.783,20.31,15753,522358,N9pKxz10nwa
2021-04,146.034,19.41,5522,522358,N9pKxz10nwa
2021-05,135.899,19.69,4620,522358,N9pKxz10nwa
2021-06,1.549,20.28,6909,522358,N9pKxz10nwa
2021-07,2.139,21.09,8342,522358,N9pKxz10nwa
2021-08,17.853,21.7,9924,522358,N9pKxz10nwa
2021-09,58.776,21.61,10609,522358,N9pKxz10nwa
2021-10,70.195,21.26,4014,522358,N9pKxz10nwa
2021-11,86.462,20.5,5116,522358,N9pKxz10nwa
2021-12,115.851,19.93,3125,522358,N9pKxz10nwa
2022-01,86.503,20.46,2439,561230,N9pKxz10nwa
2022-02,114.882,19.93,2184,561230,N9pKxz10nwa
2022-03,143.484,20.48,1720,561230,N9pKxz10nwa
2022-04,170.584,19.86,1514,561230,N9pKxz10nwa
2022-05,58.585,19.88,1543,561230,N9pKxz10nwa
